"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego";"Data założenia";"Data likwidacji"
31470;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE - GKJ";"al. marsz. Józefa Piłsudskiego";"135 ";" ";"92-318 ";Łódź;16270;0957650;1061011;"426741724 ";"426741724 ";dobreliceumgkj@gmail.com;http://www.szkolypilsudskiego.edu.pl;ŁÓDZKIE;Łódź;"Łódź - gmina miejska";"101488495 ";"7281676967 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"GRAŻYNA KAŹMIERCZAK-JAKUBIAK";"GRAŻYNA KAŹMIERCZAKJAKUBIAK";"Osoba fizyczna";ŁÓDZKIE;Łódź;Łódź;2011-10-17;
30897;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH";"al. marsz. Józefa Piłsudskiego";"135 ";" ";"92-332 ";Łódź;16270;0957650;1061011;"426741724 ";"426741724 ";dobreliceumgkj@gmail.com;http://www.gkj.edu.pl;ŁÓDZKIE;Łódź;"Łódź - gmina miejska";"101485255 ";"9471744696 ";niepubliczna;Dorośli;"brak specyfiki";"Grażyna Kaźmierczak - Jakubiak";"Teodozja Ziemba";"Osoba fizyczna";ŁÓDZKIE;Łódź;Łódź-Górna;2004-10-21;
31585;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH";"ul. Stefana Jaracza";"70 ";" ";"90-251 ";Łódź;07240;0957650;1061011;"426791996 ";" ";lko_jaracza70@op.pl;http://www.slko.pl;ŁÓDZKIE;Łódź;"Łódź - gmina miejska";"101483150 ";"7251732885 ";niepubliczna;Dorośli;"brak specyfiki";"Barbara Łukasik";"ŁÓDZKA KORPORACJA OŚWIATOWA SP. Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź;1998-09-08;
41194;"Liceum ogólnokształcące";"LVI LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE";"ul. Dziewanny";"24 ";" ";"91-866 ";Łódź;04657;0957650;1061011;"426577941 ";"426577811 ";slabowidz@blind.edu.pl;http://www.blind.edu.pl;ŁÓDZKIE;Łódź;"Łódź - gmina miejska";"470780940 ";" ";publiczna;"Dzieci lub młodzież";specjalna;;"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1993-09-01;
39055;"Liceum ogólnokształcące";"KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II";"ul. Krzysztofa Kamila Baczyńskiego";"156 ";" ";"91-170 ";Łódź;00569;0957650;1061011;"426131860 ";" ";liceum@katolik.edu.pl;http://www.katolik.edu.pl;ŁÓDZKIE;Łódź;"Łódź - gmina miejska";"101488704 ";"9471886700 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";;"ARCHIDIECEZJA ŁÓDZKA";"Organizacje Wyznaniowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1991-04-23;
83530;"Liceum ogólnokształcące";"SALEZJAŃSKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. KSIĘDZA BOSKO";;"34 ";" ";"90-046 ";Łódź;;0957650;1061011;"426718500 ";" ";szkola@wodna.edu.pl;http://;ŁÓDZKIE;Łódź;"Łódź - gmina miejska";"101512733 ";"1131083010 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";;"TOWARZYSTWO SALEZJAŃSKIE - INSPEKTORIA (PROWINCJA) ŚW.STANISŁAWA KOSTKI";"Organizacje Wyznaniowe";MAZOWIECKIE;Warszawa;Praga-Północ;2005-12-28;
31605;"Liceum ogólnokształcące";"PUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE UNIWERSYTETU ŁÓDZKIEGO IM. ""SPRAWIEDLIWYCH WŚRÓD NARODÓW ŚWIATA""";"ul. Pomorska";"161 ";" ";"90-236 ";Łódź;17088;0957650;1061011;"426655688 ";" ";liceum@uni.lodz.pl;http://www.liceum.uni.lodz.pl;ŁÓDZKIE;Łódź;"Łódź - gmina miejska";"101483256 ";"7240003243 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Tomasz Kłos";"UNIWERSYTET ŁÓDZKI";"Szkoły Wyższe Publiczne";ŁÓDZKIE;Łódź;Łódź;2008-12-23;
34945;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH";"ul. Podhalańska";"2a ";" ";"93-224 ";Łódź;16756;0957650;1061011;"426741724 ";" ";dobreliceumgkj@gmail.com;http://;ŁÓDZKIE;Łódź;"Łódź - gmina miejska";"101487410 ";"7281676967 ";niepubliczna;Dorośli;"brak specyfiki";"GRAŻYNA KAŹMIERCZAK-JAKUBIAK";"GRAŻYNA KAŹMIERCZAKJAKUBIAK";"Osoba fizyczna";ŁÓDZKIE;Łódź;Łódź;2004-10-21;
31584;"Liceum ogólnokształcące";"KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. O. ANASTAZEGO PANKIEWICZA";"ul. bł. Anastazego Pankiewicza";"15 ";" ";"91-738 ";Łódź-Bałuty;39914;0957666;1061029;"42-656-11-24 ";" ";szkola.bernardyni@wp.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Bałuty - delegatura";"101485172 ";"7261767394 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Zbigniew Andrzejczak";"PROWINCJA NIEPOKALANEGO POCZĘCIA NMP ZAKONU BRACI MNIEJSZCH OO. BERNARDYNI";"Organizacje Wyznaniowe";MAŁOPOLSKIE;Kraków;Kraków-Śródmieście;1989-09-01;
264889;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ""EDUKATOR"" W ŁODZI";"ul. Krzysztofa Kamila Baczyńskiego";"156 ";" ";"91-170 ";Łódź-Bałuty;00569;0957666;1061029;" ";" ";;http://;ŁÓDZKIE;Łódź;"Łódź-Bałuty - delegatura";"368493457 ";" ";niepubliczna;Dorośli;"brak specyfiki";"MIROSŁAW PINEK";"MIROSŁAW PINEK";"Osoba fizyczna";ŁÓDZKIE;Łódź;Łódź-Bałuty;2017-09-28;
25439;"Liceum ogólnokształcące";"XXX LICEUM OGÓLNOKSZTAŁCĄCE IM. KS. BP. IGNACEGO KRASICKIEGO";"ul. gen. Józefa Sowińskiego";"50/56 ";" ";"91-485 ";Łódź-Bałuty;20625;0957666;1061029;"426539047 ";" ";kontakt@lo30.elodz.edu.pl;http://liceumnasowinskiego.pl;ŁÓDZKIE;Łódź;"Łódź-Bałuty - delegatura";"000217930 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Ewa Dudkiewicz";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
269398;"Liceum ogólnokształcące";"LICEUM ANAGRA";"ul. Łanowa";"4 ";" ";"91-103 ";Łódź-Bałuty;11512;0957666;1061029;"426325060 ";" ";;http://;ŁÓDZKIE;Łódź;"Łódź-Bałuty - delegatura";"381471537 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"JOANNA MILLER STĘPIEŃ";"ZESPÓŁ EUROPEJSKICH SZKÓŁ NIEPUBLICZNYCH SPÓŁKA Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Bałuty;2018-09-27;
25446;"Liceum ogólnokształcące";"XXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE";"ul. Marysińska";"61/67 ";" ";"91-850 ";Łódź-Bałuty;12436;0957666;1061029;"426574930 ";"426574930 ";kontakt@lo24.elodz.edu.pl;http://www.24lo.pl;ŁÓDZKIE;Łódź;"Łódź-Bałuty - delegatura";"000217580 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jolanta Kalisiak";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
