2015,2016,2017,id,miejsce,miejsce2018,nazwa,link,miasto,wsk,znak,profil
17,21,19,0,1,21,Publiczne LO Politechniki Łódzkiej,Publiczne LO Politechniki Łódzkiej,Łódź,66.71,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
16,19,13,1,2,22,I Liceum Ogólnokształcące im. M. Kopernika,I Liceum Ogólnokształcące im. M. Kopernika,Łódź,66.36,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
26,34,28,2,3,34,XXI Liceum Ogólnokształcące im. B. Prusa,XXI Liceum Ogólnokształcące im. B. Prusa,Łódź,62.97,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
161,99,95,3,4,57,Publ. LO UŁ im. Spraw. wśród Narodów Świata,Publ. LO UŁ im. Spraw. wśród Narodów Świata,Łódź,59.43,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
98,50,71,4,5,76,XII LO im. Stanisława Wyspiańskiego,XII LO im. Stanisława Wyspiańskiego,Łódź,56.88,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
82,175,146,5,6,91,II Liceum Ogólnokształcące im. Stefana Żeromskiego,II Liceum Ogólnokształcące im. Stefana Żeromskiego,Tomaszów Maz.,55.26,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
101,93,72,6,7,92,Klasyczne LO im. ks. St. Konarskiego ,Klasyczne LO im. ks. St. Konarskiego ,Skierniewice,55.18,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-gold.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
105,95,109,7,8,104,XXXI Liceum Ogólnokształcące im. Ludwika Zamenhofa,XXXI Liceum Ogólnokształcące im. Ludwika Zamenhofa,Łódź,54.06,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
57,59,99,8,9,106,III Liceum Ogólnokształcące im. T. Kościuszki,III Liceum Ogólnokształcące im. T. Kościuszki,Łódź,53.79,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
158,154,175,9,10,120,XXVI LO im. K. K. Baczyńskiego,XXVI LO im. K. K. Baczyńskiego,Łódź,52.38,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
119,83,105,10,11,121,I LO im. Władysława Broniewskiego,I LO im. Władysława Broniewskiego,Bełchatów,52.37,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
174,62,119,11,12,129,Salezjańskie LO im. Księdza Bosko,Salezjańskie LO im. Księdza Bosko,Łódź,51.42,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
194,72,122,12,13,132,Pijarskie Liceum Ogólnokształcące Królowej Pokoju,Pijarskie Liceum Ogólnokształcące Królowej Pokoju,Łowicz,51.34,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
212,157,168,13,14,149,I Liceum Ogólnokształcące im. Bolesława Chrobrego,I Liceum Ogólnokształcące im. Bolesława Chrobrego,Piotrków Tryb.,50.14,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
144,155,206,14,15,149,I Liceum Ogólnokształcące im. Tadeusza Kościuszki,I Liceum Ogólnokształcące im. Tadeusza Kościuszki,Wieluń,50.14,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
106,105,121,15,16,187,I LO im. Kazimierza Jagiellończyka,I LO im. Kazimierza Jagiellończyka,Sieradz,48.24,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
99,198,231,16,17,191,XIII LO im. Marii Piotrowiczowej,XIII LO im. Marii Piotrowiczowej,Łódź,47.99,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
182,146,280,17,18,201,Samorządowe Liceum Ogólnokształcące ,Samorządowe Liceum Ogólnokształcące ,Opoczno,47.70,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
297,253,262,18,19,211,II LO im. Krzysztofa Kamila Baczyńskiego,II LO im. Krzysztofa Kamila Baczyńskiego,Radomsko,47.57,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
